airline,name,shortName,callSign,country,airlineUrl,phone
EMJ|Yellow Air Taxi|Yellow Air Taxi|Yo|United States||
EMM|Emma-Nik Aviation Services|Emma-Nik Aviation Services|Emma-Nikair|||
EMP|Empire Air Service, Inc.|Empire Air Service|Empire|||
EMS|Preferred Flights Inc.|Preferred Flights|Empress|||
EMU|East Asia Airlines|East Asia Airlines||Macao||
ENA|Espana, Direccion General de Aviacion Civil Y Telecomunicaciones|Espana, Direccion General de Aviacion Civil Y Telecomunicaciones|Ena|||
ENF|ENAV S.p.A.|ENAV|Enav Check|Italy||
ENI|Enimex Ltd|Enimex|Enimex|||
ENJ|Enerjet|Enerjet|Enerjet|United States||
ENK|Executive Airlink|Executive Airlink|SUNBIRD|United States||
ENRGY|U.S. Department of Energy|U.S. Department of Energy|Energy|United States||
ENS|Entergy Services, Inc.|Entergy Services|Entergy Shuttle|||
ENT|Enter Air Sp. z.o.o.|Enter Air|EnterAir||http://www.enterair.pl|
ENW|Aeronaves Del Noroeste|Aeronaves Del Noroeste|Aeronor|||
ENY|Envoy Air||Envoy|United States|https://www.envoyair.com|+1-800-433-7300
ENZ|Jota Aviation Ltd.|Jota Aviation|Enzo|United Kingdom||
EOK|Aero K Airlines|Aero K||South Korea||
EOL|Airailes|Airailes|Eole|France||
EOM|Aero Ermes, S.A. de C.V.|Aero Ermes de C.V.|Aero Ermes|||
EOS|Eliossola Srl|Eliossola Srl|Eliossola|||
EPA|Express Airways GMBH, Frankfurt|Donghai Airlines|||http://www.donghaiair.com/|
EPB|Eastern Pacific Aviation Ltd.|Eastern Pacific Aviation|East Pac|Canada||
EPC|Espace Aviation Services|Espace Aviation Services|Espace|||
EPE|Aero Empresarial, S.A. de C.V.|Aero Empresarial de C.V.|Aeroempresarial|||
EPIA|Epic Flight Academy|Epic Flight Academy|Epic Air|United States||
EPL|Aero Transportes Empresariales|Aero Transportes Empresariales|Empresariales|||
EPN|Europlane S.l.|Europlane S.l.|Europlane|||
EPR|Expreso Aereo|Expreso Aereo|Expreso Peru|||
EPS|Epps Air Service, Inc.|Epps Air Service|Epps Air|||
EQA|Eagle Aviation Ltd|Eagle Aviation Ltd|Magnum|||
EQL|Air Sao Tome And Principe|Air Sao Tome And Principe|Equatorial|||
ERA|Eurocommander, S.A.|Eurocommander|Eurocommander|||
ERC|Esso Resources Canada Ltd.|Esso|Esso|Canada||
ERE|Erie Airways, Inc.|Erie Airways|Air Erie|||
ERF|Erofey LLC|Erofey|Gulliver|Russian Federation||
ERG|Aviaenergo|Aviaenergo|Aviaenergo|||
ERH|Era Helicopters Inc.|Era Helicopters|Era|United States|http://www.flyravn.com|+1-800-866-8394
ERI|Aero Servicios Regiomontanos, S.A. de C.V.|Aero Servicios Regiomontanos de C.V.|Asergio|||
ERJ|Eurojet Italia|Eurojet Italia|Jet Italia|Italy||
ERL|Euralair|Euralair||France||
ERO|Aeroecom, C.A.|Aeroecom|Aeroecom|Venezuela||
ERS|Red Sea Air Plc|Red Sea Air Plc|Eritrean Redsea|||
ERT|Eritrean Airlines|Eritrean Airlines|Eritrean|Eritrea||
ERV|Yerevan-Avia|Yerevan-Avia|Yerevan-Avia|||
ERY|Sky Quest LLC|Sky Quest|Erie Shore|||
ESA|Seagreen Air Transport|Seagreen Air Transport|Seagreen|||
ESB|Aereosaba, S.A. de C.V.|Aereosaba de C.V.|Aereosaba|||
ESE|Avesen, S.A. de C.V.|Avesen de C.V.|Avesen|||
ESF|Estafeta Carga Aerea|Estafeta Carga Aerea|Estafeta|Mexico|https://www.estafeta.com/|
ESI|Esi Eliservizi Italiani|Esi Eliservizi Italiani|Eliservizi|||
ESP|Espeair|Espeair|Espeair|||
ESQ|Europ-Star Aircraft|||Austria||
ESR|Eastar Jet|Eastarjet|Excelsior|South Korea|https://www.eastarjet.com/|
ESS|Thai Eastarjet Co.,Ltd.|Thai Eastar Jet|Thai Star|Thailand||
EST|Regional Jet O|Regional Jet O|Reval|Estonia||
ESU|Aerolineas Ejecutivas Del Sureste, S.A. de C.V.|Aerolineas Ejecutivas Del Sureste de C.V.|Alesur|||
ESW|Silk Way Business Aviation|||Azerbaijan||
ESY|Executive Aviation Services Limited|Executive Aviation Services Limited|Exco Air|||
ETA|Estrellas Del Aire, S.A. de C.V.|Estrellas Del Aire de C.V.|Estrellas|||
ETC|African Transport Trading And Investment Co.|African Transport Trading And Investment Co.|Tranattico|||
ETD|Etihad Airways|Etihad Airways|ETIHAD|United Arab Emirates|http://www.etihad.com/en-us/|+1-888-838-4423
ETE|Aero Siete, S.A. de C.V.|Aero Siete de C.V.|Aerosiete|||
ETH|Ethiopian Airlines Corporation|Ethiopian Airlines|Ethiopian|Ethiopia|https://www.ethiopianairlines.com/AA/EN|+1-800-445-2733
ETI|Elitaliana S.p.a.|H-Bird Aviation Services|Jethawk|Sweden||
ETL|Patterson Aviation Company|Patterson Aviation Company|Entel|||
ETM|Transportes Aereos Tamaulipas, S.A. de C.V.|Transportes Aereos Tamaulipas de C.V.|Tamsaero|||
ETO|Eteleair, Air Company Ltd|Eteleair|Eteleair|||
ETP|Empire Test Pilots School|Empire Test Pilots School|Tester|||
ETR|Estelar Latinoamrica|Estelar|Estelar|Venezuela|flyestelar.com|
ETT|Ett Aviation Services Limited|Ett Aviation Services|Ettair|||
ETX|European Air Taxi|European Air Taxi|Neat|||
EUA|European Regions Airlines|European Regions Airlines|Golden Angel|||
EUH|Euralair Horizons|Euralair Horizons||France||
EUI|Euravia|Euravia|Euravia|||
EUJ|Euroscot Airways|Euroscot|Scotair|||
EUK|Air Atlanta Europe|Air Atlanta Europe||United Kingdom||
EUL|Euro-asia Aviation Co., Ltd|Euro-asia Aviation Co., Ltd|Eurolao|||
EUP|Euroair|Euroair||Greece||
EUR|Eurojet S.A.|Eurojet|Eurojet|||
EUS|Eurasia Aircompany|Eurasia Aircompany|Eurasia|||
EUU|Euroamerican Air|Euroamerican Air|Euroamerican|||
EUW|European Flight Service|||Sweden||
EUX|European Expedite|European Expedite|Yellow|||
EVA|EVA Airways|EVA Air|Eva|Taiwan|http://www.evaair.com/html/b2c/english/|+1-800-695-1188
EVE|Evelop Airlines|evelop!|EVELOP|Spain|http://en.evelop.com/|
EVI|Evin-Evoluzioni-Industriali|Evin-Evoluzioni-Industriali|Evin Air|||
EVJ|Everjets - Aviacao Executiva, S.A.|Everjets|Everjets|Portugal||
EVK|Everett Aviation|Everett Aviation|Everett|Kenya||
EVL|Evolem Aviation|||France||
EVM|Natural Environment Research Council Airborne Remote Sensing Facility|Natural Environment Research Council Airborne Remote Sensing Facility|Environment|||
EVN|Euraviation|Euraviation|Euraviation|||
EVT|Aeroveneta|Aeroveneta|Aeroveneta|||
EVY|34 Squadron, Royal Australian Air Force|No. 34 Squadron RAF||Australia||
EWA|East-West Airlines Ltd.|East-West Airlins|Eastwest|||
EWE|Eurowings Europe||EUROWINGS|||
EWF|Eurowings Flug GMBH, Dortmund|Eurowings Flug|Shark|||
EWG|Eurowings|Eurowings|Eurowings|Germany|http://www.germanwings.com|+1-845-709-8332
EWR|EWA Air|EWA Air|Mayotte Air|France||
EWS|Enterprise World Airways|Enterprise World|World Enterprise|||
EWT|Eastwest Airlines, Erfurt|Eastwest Airlines, Erfurt|E-West|||
EWW|Emery Worlwide Airlines|Emery Worlwide|Emery|||
EXA|Execaire Aviation Ltd.|Execaire|Canadian Execaire|Canada||
EXB|Brazilian Army Aviation|Brazilian Army Aviation|Brazilian Army|||
EXC|Hapag-Lloyd Express||EXCELLENCE|Germany||
EXD|Execujet|Execujet||Switzerland|http://www.execujet.com/|
EXE|Executive Flight, Inc.|Executive Flight|Exec|||
EXG|Air Exchange, Inc.|Air Exchange|Exchange|||
EXH|G5 Executive AG|G5 Executive AG|Batman|||
EXJ|Executive Jet Charter Limited|Executive Jet Charter|Volante|United Kingdom||
EXM|Caa Flight Examiners|Caa Flight Examiners|Exam|||
EXP|Business Express Delivery Ltd.|Business Express Delivery Ltd.|Express Air|Canada||
EXS|Jet2.com Limited (Channel Express)|Jet2|Channex|United Kingdom|http://www.jet2.com/|
EXT|Night Express|Night Express|Executive|||
EXU|Executive Airlines|||Spain||
EXV|FITS Aviation (Pvt) Ltd|FitsAir|Expoavia|Sri Lanka||
EXW|Executive Airlines Services Ltd|Executive Airlines Services Ltd|Echoline|||
EXX|International Air Corp.|International Air Corp.|Express International|||
EXY|Sa Express Airways|Sa Express|Expressways|South Africa|http://flyexpress.aero/|
EXZ|East African Safari Air Express Ltd|Fly-SAX|DUMA|Kenya|http://fly-sax.com/|
EYE|F.s. Air Service, Inc.|F.s. Air Service|Sockeye|||
EYT|Etihad Flight College|Etihad Flight College|Jernas|United Arab Emirates||
EZA|Eznis Airways LLC|Eznis Airways|Eznis|Mongolia||
EZE|Eastern Airways|Eastern Airways|Eastflight|||
EZS|easyJet Switzerland|easyJet Switzerland|Topswiss|Switzerland|http://www.easyjet.com/|
EZT|Zenit|Zenit|Zenit|||
EZX|Eaglexpress Air Charter Sdn Bhd|Eaglexpress|Eaglexpress Air|Malaysia||
EZY|EasyJet Airline Co. Ltd.|easyJet|Easy|United Kingdom|http://www.easyjet.com/|
FAB|Bradley Air Services Limited|First Air|First Air|Canada|http://www.firstair.ca/|
FAC|First Air Courier, Inc.|First Air Courier|First Air|||
FAD|flyadeal|flyadeal|Purple|||
FAE|Fuerza Aerea Ecuatoriana|Fuerza Aerea Ecuatoriana|Ecuadorian Airforce|Ecuador||
FAF|Force Aerienne Francaise|Force Aerienne Francaise|France Air Force|France||
FAG|Fuerza Aerea Argentina|Fuerza Aerea Argentina|Fuaer|Argentina||
FAH|Farner Air Transport Hungary|Farner Air Transport Hungary|Blue Strip|Hungary||
FAI|Falcon Air, Inc.|Falcon Air|Motor-City|||
FAJ|Fiji Air Services Limited|Fiji Air Services Limited|Fijiair|Fiji|http://www.airfiji.com.fj/|+1-877-247-3454
FAK|Financial Airxpress|Financial Airxpress|Facts|||
FAL|Friendship Air Alaska|Friendship Air Alaska|Friendship|United States||
FAM|Fuerza Aerea Mexicana||FAMEX|Mexico||
FAN|Af-Air International|Af-Air International|Fanbird|||
FAP|Parsons Airways Norhtern Ltd.|Parsons Airways Norhtern Ltd.||Canada||
FAR|Far Airlines|Far|Far Airlines|||
FAS|Afrique Air Affaires|Afrique Air Affaires|Air Affaires|||
FAT|Farner Air Transport AG|Farner Air Transport AG|Farner|||
FAV|Finnaviation O/y|Finnaviation O/y|Bluebird|||
FAW|Falwell Aviation, Inc.|Falwell Aviation|Falwell|United States||
FAX|Midwest Air Freighters|Midwest Air Freighters|Fairfax|||
FAY|Fayban Air Services|Fayban Air Services|Fayban Air|||
FAZ|Flint Aviation Services, Inc.|Flint Aviation Services|Flint Air|||
FBA|Fly Baghdad|Fly Baghdad|IRAQ EXPRESS|Iraq|http://www.flybaghdad.net/|
FBD|Statens Trafikkflygerskole|Statens Trafikkflygerskole|Firebird|||
FBF|Fine Airlines, Inc.|Fine Airlines|Fine Air|United States||
FBG|Fleet Air BG|Fleet Air|Fleet Big|Bulgaria||
FBL|Food Brokers Ltd.|Food Brokers|Food|||
FBN|Afrique Airlines|Afrique||||
FBR|Belair Ile de France|Belair Ile de France|Eurobelair|||
FBS|FlyBosnia|FlyBosnia|Bosnia Air|Bosnia and Herzegovina||
FBU|French Blue|French Bee|French Bee|France||
FBZ|FB Lneas Areas S.A.|Flybondi|Bondi|Argentina||
FCB|Cobalt|Cobalt|APOLLO|Cyprus|http://cobalt.aero/|
FCC|Cri-Costa|Cri-Costa|Cri-Costa|||
FCI|Air Carriers, Inc.|Air Carriers|Fast Check|||
FCK|FCS, Flight Calibration Services, Braunschweig|FCS Flight Calibration Services|Nav Checker|Germany||
FCN|Falcon Air AB|Falcon Air AB|Falcon|||
FCO|Aerofrisco|Aerofrisco|Aerofrisco|||
FCP|Flight Corporation|Flight Corporation|Flightcorp|||
FCS|Flight Line Charter Services CC|Flight Line Charter Services CC|Flight Charter|||
FCT|Cnfa|Cnfa|Sfact|||
FCV|Flight Centre Victoria|Flight Centre Victoria|Navair|Canada||
FCY|Fly Company Ltd|Fly Company|Fly Company|||
FDA|Fuji Dream Airlines|Fuji Dream|FUJI DREAM|||
FDB|FlyDubai|||||
FDE|Federico II Airways|Federico II|Federeagle|||
FDK|FlyDamas|FlyDamas|DAMAVIA|Syria|http://www.flydamas.com/|
FDL|Farmingdale State University|Farmingdale State University|Farmingdale State|||
FDM|Freedom Airlines, Inc.|Freedom Airlines|Liberty|||
FDO|France Douanes|France Douanes|French Custom|||
FDR|Federal Air|Federal Air|Fedair|||
FDS|African Medical and Research Foundation (AMREF)|AMREF Flying Doctors|Flydoc|Kenya||
FDT|Freedom Airline Express Ltd.|Freedom Airline|Freedom Eagle|Kenya||
FDX|Federal Express Corporation|FedEx|FedEx|United States|http://www.fedex.com/|
FDY|Sun Air Express, LLC. d/b/a Sun Air International|Southern Airways Express|Friendly|United States|http://iflysouthern.com|1-800-329-0485
FEC|Denver Express, Inc.|Denver Express|Falcon Express|||
FED|Linea Federal Argentina S.e.m.|Linea Federal Argentina S.e.m.|Federal|Argentina||
FEE|Aeroservicios Fares C.A.|Aeroservicios Fares|Fares|Venezuela||
FEG|FlyEgypt|FlyEgpyt||Egypt||
FEI|Eagle Air Iceland (Flugfelagid Ernir)|Eagle Air|Arctic Eagle|Iceland||
FEL|First European Airways Ltd|First European Airways|Premiere|||
FEM|Flywell Airlines Private Limited|Flywell Airlines Private|Flywell|||
FER|Feria Aviacion|Feria Aviacion|Feria|||
FET|OLD DOMINION FREIGHT LT LINES, INC|Old Dominion Freight Line|FREIGHT LINE|United States||
FEU|Compagnie Aeronautique Europeenne|Compagnie Aeronautique Europeenne|Aerocom|||
FEW|Far Eastern Cargo Airlines|Far Eastern Cargo Airlines|Eastern Cargo|||
FEX|Flightexec Limited|Flightexec Limited|Flightexec|Canada||
FFA|Ffa Air-Travel|Ffa Air-Travel|Fairtravel|||
FFB|Africair Service|Africair Service|Foxtrot Foxtrot|||
FFC|Fairoaks Flight Centre|Fairoaks Flight Centre|Fairoaks|||
FFD|Stuttgarter Flugdienst|||Germany||
FFG|Flugdienst Fehlhaber GMBH, Neustadt/wied|Flugdienst Fehlhaber GMBH, Neustadt/wied|Witchcraft|||
FFL|ForeFlight||ForeFlight|United States|http://www.foreflight.com/|
FFM|FIREFLY||FIREFLY|||
FFS|Florida Dept Of Agriculture|Florida Dept Of Agriculture|Forestry|||
FFT|Frontier Airlines, Inc.|Frontier|Frontier Flight|United States|http://www.frontierairlines.com/|+1-800-432-1359
FFU|Gec Marconi Avionics Ltd|Gec Marconi Avionics Ltd|Ferranti|||
FFV|Five Forty Aviation Ltd.|Fly540|Swift Tango|Kenya||
FFY|Florida Flyers Flight Academy|Florida Flyers|Flyers Air|United States||
FGC|Departamento de Agricultura de La Generalitat de Cataluna|Departamento de Agricultura de La Generalitat de Cataluna|Forestales|Spain||
FGD|Conair Aviation Ltd.|Conair Aviation|Fireguard|Canada|http://www.conair.ca/|
FGE|Federal Air G.E. Airlines|Federal Air G.E. Airlines|Federal-Gee|||
FGG|flyglobal charter Sdn. Bhd.|flyGlobal|Bluefinch|Malaysia||
FGH|Fan Airways Limited|Fan Airways|Fanair|||
FGN|Gendarmerie Nationale|Gendarmerie Nationale|France Gendarme|||
FGR|Trans-Pacific Air Charter LLC|Trans-Pacific Air Charter|Frigate|United States||
FGS|Elitellina|Elitellina|Elitellina|||
FGW|Fly Gangwon|Fly Gangwon|Gangwon|South Korea|http://flygangwon.com|
FHL|Fast Helicopters Limited|Fast Helicopters|Findon|||
FHM|Freebird Airlines Europe Limited|Freebird Airlines||Malta||
FHS|Forth Helicopter Services|Forth Helicopter Services|Heliscot|||
FHV|Flyverhjemmevaernet|Flying Home Guard|Patrol|Denmark||
FHY|Freebird Airlines A.S.|Freebird Airlines|Freebird Air|||
FIA|FlyOne|FlyOne|FLY ONE|Moldova|http://www.flyone.aero/|
FIB|Freeway Iberica, S.A.|Freeway Iberica|Free Iberica|||
FIH|HEMS Hallinnointi Oy|FinnHEMS|Finnhems|Finland||
FII|Flight Inspection International GMBH, Braunschweig|Flight Inspection International GMBH, Braunschweig|Flight Checker|||
FIL|Avia Filipinas International, Inc.|Avia Filipinas International|Aviafil|||
FIN|Finnair O/y|Finnair|Finnair|Finland|http://www.finnair.com/|+1-800-950-5000
FIT|Aero Fiesta Mexicana, S.A. de C.V.|Aero Fiesta Mexicana de C.V.|Aerofiesta|||
FIV|CitationAir||Fivestar|United States||
FIX|Airfix Aviation|||Finland||
FJA|FIJI AIRLINES LIMITED|Fiji Link|Link Fiji|Fiji|http://fijiairways.com/|
FJC|Falcon Jet Centre|Falcon Jet Centre|Falconjet|||
FJE|Silverjet|Silverjet|Envoy|United States||
FJI|Fiji Airways|Fiji Airways|Fiji|Fiji|http://www.fijiairways.com|
FJK|Fly Jet.kz|Fly Jet.kz||Kazakhstan||
FJM|Fly Jamaica Airways|Fly Jamaica|Greenheart|||
FJN|Northern Air|Northern Air||Fiji||
FJR|Fly Jordan|Fly Jordan|SOLITAIRE AIR|Jordan|http://www.flyjordanairline.com/|+962 64010445
FJS|Florida Jet Service, Inc|Florida Jet Service, Inc|Florida Jet|||
FJT|Fly Jet|Fly Jet|Fly Jet|||
FJW|Fastjet Zimbabwe Limited|Fastjet Zimbabwe|Zimbird|Zimbabwe||
FKL|Kelner Airways Ltd, V.|Kelner Airways|Kelner|Canada||
FKS|Focus Air|Focus Air|Focus|United States||
FLA|Midway Express|Midway Express|Palm|||
FLB|Fly S.A. Linhas Aereas|Fly S.A. Linhas Aereas|Aereafly|||
FLC|FAA Flight Program||Flight Check|||
FLE|Flair Airlines||FLAIR|Canada|http://flairair.ca|
FLF|Friendship Airlines Ltd|Friendship|Friend Air|||
FLG|Pinnacle Airlines||Flagship|||
FLH|Sky Bus, Inc.|Sky Bus|Mile High|United States||
FLI|Atlantic Airways, P/f, Faroe Islands|Atlantic Airways|Faroeline|||
FLJ|Flair Jet|Flair Jet|Flair Jet|||
FLK|Falcks Redningskorps Beldringe A/s|Falcks Redningskorps Beldringe A/s|Falckair|||
FLL|Federal Airlines|Federal Airlines|Federal Airlines|||
FLM|Flying Lamm S.L.|Flying Lamm||Spain||
FLP|Aeroclub Flaps|Aeroclub Flaps|Aeroclub Flaps|||
FLS|Fairlines B.v.|Fairlines B.v.|Fairline|||
FLV|Flight, Joint-Stock Company|Flight, Joint-Stock Company|Belouga|||
FLX|Flight Express|Flight Express|Flight Express|||
FLY|Flying Enterprise AB|Flying Enterprise AB|Flying|||
FLZ|Aero Leasing, Inc. D/B/A Air Florida & Air Florida Airlines|Aero Leasing D/B/A Air Florida & Air Florida Airlines|Air Florida|||
FMA|Foremost Aviation|Foremost Aviation|Foremost|||
FMC|Claessens International Ltd|Claessens International Ltd|Claessens|||
FMG|Fmg Verkehrsfliegerschule Flughafen Paderborn-Lippstadt, Buren|Fmg Verkehrsfliegerschule Flughafen Paderborn-Lippstadt, Buren|Husky|||
FMR|Flamingo Air, Inc.|Flamingo Air|Flamingo Air|||
FMS|Hadison Aviation|Hadison Aviation|Hadi|||
FMY|Aviation Legere de L'armee de Terre|Aviation Legere de L'armee de Terre|French Army|||
FNA|Flugfelag Nordurlands|Flugfelag Nordurlands|Norland|Iceland||
FNF|Finnish Air Force, Head Quarters|Finnish Air Force, Head Quarters|Finnforce|||
FNG|Frontier Guard, Finland|Frontier Guard, Finland|Finnguard|||
FNH|Phoenix, Joint-Stock Company|Phoenix, Joint-Stock Company|Incom-Phoenix|||
FNK|IAS Itzehoer Airservice GmbH|IAS Itzehoer Airservice|Funky|Germany||
FNT|Flight International Airlines, Inc.|Flight International Airlines|Flight International|United States||
FNX|Fenix Air Charter|Fenix|Crescent|||
FNY|France Marine Nationale|France Marine Nationale|French Navy|||
FOA|Filipinas Orient Airways, Inc.|Filipinas Orient|Fil Orient|||
FOB|Ford Motor Co. Ltd|Ford|Fordair|||
FOC|Office Federal de L'aviation Civile|Office Federal de L'aviation Civile|Foca|||
FOF|Fred Olsen Flyselskap A/s|Fred Olsen Flyselskap|Fredolsen|||
FOL|Forest Airline South Africa|Forest Airline South Africa|Forestair|||
FOM|South Pacific Air Charters|South Pacific Air Charters|Free Air|||
FOO|Anisec||AUSTROJET|Austria|https://www.flylevel.com/|
FOP|Fokker Aircraft Services|Fokker Aircraft Services|Fokker Services|Netherlands||
FPC|Lillbacka Jetair Oy|Lillbacka Jetair Oy|Finnpower|||
FPD|Aeroleasing|Aeroleasing|Vipflight|||
FPG|Tag Aviation S.a.|Tag Aviation|Tag Aviation|||
FPL|Flight Precision Limited|Flight Precision Limited|Midcal|||
FPO|Europe Airpost||French Post|France||
FQA|Quikjet Cargo Airlines Pvt. Ltd|Quikjet Airlines|Quik Lift|India||
FRA|Fr Aviation Ltd|Fr Aviation Ltd|Rushton|||
FRC|Icare Franche Compte|Icare Franche Compte|Franche Compte|||
FRD|Ford Motor Company|Ford Motor Company|Ford|United States||
FRE|Boeing Tactical|Boeing Tactical|Freedom|United States||
FRF|Fleet Air International Ltd.|Fleet Air|Fairfleet|Hungary||
FRG|Freight Runners Express, Inc.|Freight Runners Express|Freight Runners|||
FRH|ACE Belgium Freighters S.A.|ACE Belgium Freighters|Ace Freight|Belgium||
FRI|Fair|Fair||Japan||
FRJ|Afrijet Airlines|Afrijet|Afrijet|||
FRM|Federal Armored Service, Inc.|Federal Armored Service|Fedarm|||
FRN|Tulip Air Charter B.v.|Tulip Air Charter B.v.|Farnair Europe|||
FRO|Frobisher, N.v.|Frobisher, N.v.|Frobisher|||
FRS|Flandre Air Service|Flandre Air Service|Flandrair|||
FRT|Aerofreight Airlines, Joint-Stock Company|Aerofreight Airlines|Aerofreight|||
FRU|Transportadora Fruyleg, S.A. de C.V.|Transportadora Fruyleg de C.V.|Fruyleg|||
FRV|Morocco Government|Morocco Government||Morocco||
FRW|Farwest Airlines, Inc|Farwest|Farwest|||
FRX|Fort Aero|Fort Aero|Fort Aero|Estonia||
FSA|Foster Aviation|Foster|Foster-Air|||
FSB|Fsb Flugservice & Development GMBH, Berlin|Fsb Flugservice & Development|Seabird|||
FSD|Efs-Flugservice GMBH, Dusseldorf|Efs-Flugservice|Flugservice|||
FSE|AFS Alpine Flightservice GmbH|Alpine Flightservice|Falco|Austria||
FSH|Flash Airline Limited|Flash Airline Limited|Flash|||
FSK|AFRICA CHARTER AIRLINES CC||AFRICAN SKY|South Africa||
FSM|Airpilot Escuela De Vuelo S.L.|Airpilot Escuela De Vuelo||Spain||
FSN|Fasons Air Services|Fasons Air Services|Fason Air|||
FSP|APERTURE AVIATION, INC. |Aperture Aviation|SNAPSHOT|United States||
FSR|Flightstar Corp|Flightstar Corp|Flightstar|||
FST|Fast Air Ltda.|Fast Air Ltda.|Faster|||
FSW|Faso Airways|Faso||||
FSX|Flagship Express Services, Inc.|Flagship Express Services|Flag|||
FSY|Private Air Inc|Private Air Inc|Frosty|Canada||
FTA|Frontier Flying Service, Inc.|Frontier Flying Service|Frontier-Air|United States|http://www.frontierflying.com/|+1-800-478-6779
FTD|Andrew Bettis Aviation, LLC|AB Jets|FORTITUDE|||
FTE|Fotografia F3, S.A.|Fotografia F3|Fotografia|||
FTG|Servicios Aereos Y Fotograficos, S.A. de C.V.|Servicios Aereos Y Fotograficos de C.V.|Fotograficos|||
FTH|Mountain Aviation||FOOT HILLS|United States||
FTI|Frosch Touristik GMBH, Munchen|Frosch Touristik GMBH, Munchen|Frog-Line|||
FTL|Flightline|Flightline|Flight-Avia|||
FTN|Aviation Charter And Management|Aviation Charter And Management|Fortune|||
FTO|Tropic Ocean Airways|Tropic Ocean|Wagner|United States||
FTR|Finist'air|Finist'air|Finistair|||
FTS|African Transair|African Transair|African Transair|||
FTU|China Civil Aviation Flight University|China Civil Aviation Flight University|Flight University|China||
FTY|ABC Bedarfsflug|||Austria||
FUE|Aviastar|Aviastar|Aviastar-Volga|||
FUJ|Fujairah Aviation Centre|Fujairah Aviation Centre|Fujairah|||
FUN|Funtshi Aviation Service|Funtshi|Funtshi|||
FUP|Fuchs Und Partner GMBH & Co. Kg, Augsburg|Fuchs Und Partner GMBH & Co. Kg, Augsburg|Fox Air|||
FUR|Air Poitiers|Air Poitiers|Futuroscope|||
FVA|Cardinal/air Virginia|Cardinal/air Virginia|Air Virginia|||
FVS|Falcon Aviation Services|Falcon Aviation Services|Falcon Aviation|United Arab Emirates||
FWC|Freeway Air B.v.|Freeway Air|Freeway|||
FWD|Fair Wind Air Charter|Fair Wind|Fair Wind|||
FWI|Societe Nouvelle Air Guadeloupe (Air Carabes)|Air Carabes|French West|France||
FWK|FlightWorks|||||
FWL|Florida West International Airways, Inc.|Florida West International|Flo West|United States|http://www.fwia.com/|
FWR|FlightAware|FlightAware|FlightAware|United States|http://flightaware.com/|+1-800-713-8570
FWY|Fairways Corp.|Fairways Corp.|Fairways|||
FXA|Express Air, Inc.|Express Air|Effex|||
FXC|Fortunair Canada|Fortunair Canada|Air Future|Canada||
FXF|Vip Air Charter, Inc.|Vip Air Charter|Fox Flight|||
FXI|Flugfelag Islands, Icelandair|Air Iceland|Faxi|Iceland|https://www.airicelandconnect.com|
FXR|Foxair|Foxair|Windfox|||
FXT|Flexflight ApS|Flexflight||Denmark||
FXX|Felix Airways|Felix Airways||Yemen||
FXY|Flexair B.v.|Flexair|Flexy|||
FYG|Flying Service|||Belgium||
FYJ|Flyjet|||Poland||
FYL|Flying Group|||Luxembourg||
FYS|European Flyers|European Flyers|European Flyers|Spain||
FZA|Fuzhou Airlines|||||
FZW|flyafrica||Fresh Express|Zimbabwe||
GAA|Global Africa Aviation|Global Africa Aviation|GLOBAL AFRICA|Zimbabwe|http://globalaa.net/|
GAB|Gendall Air Ltd.|Gendall Air Ltd.|Gendall|Canada||
GAC|GloebAir|GlobeAir|GlobeAir|||
GAD|South Coast Airways Ltd|South Coast Airways Ltd|Southcoast|||
GAE|Grand Aire Express, Inc.|Grand Aire Express|Grand Express|United States||
GAF|German Air Force|German Air Force|German Air Force|Germany||
GAJ|Wheels Up|Wheels Up - Gama Aviation|Gama Jet|United States|https://wheelsup.com/|
GAK|Global Air Transport|Global Air|Aviagroup|Libya||
GAL|Allanza Glancelot C.A.|Albatros Airlines|Errante|Venezuela||
GAM|German Army|German Army|German Army|Germany||
GAN|Gander Aviation Ltd.|Gander Aviation Ltd.|Ganair|Canada||
GAP|Air Philippines|PAL Express|AIRPHIL|Philippines|https://www.philippineairlines.com/en|
GAQ|Golfe Air Quebec Ltee.|Golfe Air Quebec Ltee.|Golfair|||
GAS|Galena Air Service|Galena Air Service|Galena Air Service|||
GAT|Gulf Air Inc.|Gulf Air|Gulf Trans|||
GAU|Aerogaucho S.A.|Aerogaucho S.A.|Aerogaucho|||
GAV|Granada Aviacion|Granada Aviacion|Granavi|||
GAW|Gambia Airways|Gambia Airways|Gee-Line|||
GAX|Grand Aire Express, Inc.|Grand Aire Express|Grand Aire|||
GBA|Barrier Air||Barrier|New Zealand||
GBB|Global Aviation Operations (PTY) Ltd|Global Aviation|Globe|South Africa||
GBC|Globe Air Cargo|Globe Air Cargo|Globe Cargo|||
GBJ|Wm Aero Charter GMBH, Filderstadt|Wm Aero Charter|Global Jet|||
GBM|GBM Aereo, S.A. de C.V.|GBM Aereo de C.V.|Aereo Gee-Bee-Emm|||
GBR|Rader Aviation, Inc.|Rader Aviation|Greenbrier Air|||
GBT|Gold Belt Air Transport Inc.|Gold Belt Air Transport|Gold Belt|Canada||
GBU|Transports Aeriens de La Guinee-Bissau|Transports Aeriens de La Guinee-Bissau|Transbissau|||
GBX|Gb Airlink, Inc.|Gb Airlink|Island Tiger|||
